año,poblacion_total,fuerza_trabajo,ocupados,desempleados,sector_comercio_servicios,ocup_calificada_alta,educacion_universitaria,tasa_desempleo,pct_subempleo,pct_educacion_universitaria
2014,4770658.0,2284141.5,2064405.5,219736.0,1466018.25,434875.5,543533.25,9.617385138793994,12.816288927563157,26.3
2015,4829653.75,2276103.5,2057301.5,218802.0,1407868.25,444360.5,526981.25,9.612973645202924,12.441263036858857,25.6
2016,4887976.25,2206179.0,1995747.75,210431.25,1377384.25,441102.0,514245.25,9.53785229540043,9.026489179761908,25.8
2017,4944803.5,2255847.0,2051236.75,204610.25,1412603.25,403285.0,528944.0,9.071724394614192,8.052611577370588,25.8
2018,5000927.75,2359643.75,2117052.5,242591.25,1438567.75,410621.75,523217.0,10.264046309306353,8.662461611977578,24.7
2019,5055237.75,2464956.0,2175098.0,289858.0,1505410.25,482757.0,601180.25,11.755392083358313,10.376965180568531,27.6
2020,5108539.25,2406532.5,1938173.0,468359.5,1325664.25,425170.25,564117.75,19.60688484745551,19.857513314762116,29.1
2021,5161049.5,2440770.5,2039832.0,400938.5,1419752.0,476195.5,597963.0,16.433372011877097,14.577564902293219,29.3
2022,5211340.5,2454023.0,2154252.25,299770.75,1514138.25,494187.0,612925.5,12.218830784361874,10.083664501550533,28.5
2023,5260078.25,2299896.5,2094838.5,205058.0,1436124.5,482695.0,616583.25,8.890873641856484,5.70880806135461,29.4
2024,5307827.5,2377438.0,2200452.0,176986.0,1569450.0,532901.25,687214.5,7.452443711833748,3.427276065628283,31.2
2025,5353754.5,2346982.25,2188736.25,158246.0,1562608.75,566123.75,705863.0,6.73937623509676,2.964284212615656,32.2
